stadium,City Id,team,capacity
Graham Stadium,224,UT Martin Skyhawks,8000
Cowell Stadium,225,New Hampshire Wildcats,8000
Ted Wright Stadium,226,Savannah State Tigers,7500
Strawberry Stadium,227,Southeastern Louisiana Lions,7408
Alumni Stadium,228,Delaware State Hornets,7000
Coffey Field,229,Fordham Rams,7000
Seibert Stadium,230,Samford Bulldogs,6700
Bailey Memorial Stadium,231,Presbyterian Blue Hose,6500
Richardson Stadium,232,Davidson Wildcats,6000
Gayle and Tom Benson Stadium,233,Incarnate Word Cardinals,6000
Blackshear Field,234,Prairie View A&M Panthers,6000
Spec Martin Municipal Stadium,235,Stetson Hatters,6000
Torero Stadium,236,San Diego Toreros,6000
Butler Bowl,237,Butler Bulldogs,5500
Meade Stadium,238,Rhode Island Rams,5180
Leonidoff Field,239,Marist Red Foxes,5000
Husky Stadium,240,Houston Baptist Huskies,5000
Brown Field,241,Valparaiso Crusaders,5000
Barker–Lane Stadium,242,Campbell Fighting Camels,5000
D. B. Milne Field,243,Jacksonville Dolphins,5000
Bulldog Stadium,244,Bryant Bulldogs,4400
Kessler Field,245,Monmouth Hawks,4000
Buccaneer Field,246,Charleston Southern Buccaneers,4000
Campus Field,247,Sacred Heart Pioneers,4000
Arute Field,248,Central Connecticut State Blue Devils,3500
DeGol Field,249,Saint Francis Red Flash,3500
Wagner College Stadium,250,Wagner Seahawks,3300
Joe Walton Stadium,251,Robert Morris Colonials,3000
Cooper Field,252,Georgetown Hoyas,2500
Arthur J. Rooney Athletic Field,253,Duquesne Dukes,2200
